Fire_ID,Agency_Type,NWCG_Reporting_ Agency,Reporting_Unit_ Name,Fire_Name,Year,Fire_Discovery_Date,Date_Contained,NWCG_Cause_Classification,Cause_Description,Fire_Size,Latitude,Longitude,Fire_Origin_Land_Owner,State,County
13081,FED,FS,Nebraska National Forest,ROBERTS TRACT,2006,7/26/2006,8/20/2006,Natural,Natural,10079.0,42.68333333,-103.145,USFS,NE,Dawes 
13082,FED,FS,Nebraska National Forest,SPOTTED TAIL #3,2006,7/28/2006,8/20/2006,Natural,Natural,17899.0,42.69111111,-102.9605556,USFS,NE,Dawes 
13158,FED,FS,Custer National Forest,WATT DRAW,2006,7/13/2006,7/23/2006,Natural,Natural,17552.0,45.49111111,-105.9713889,MISSING/NOT SPECIFIED,MT,Powder River 
13178,FED,FS,Humboldt National Forest,SNOW CANYON,2006,8/20/2006,8/27/2006,Natural,Natural,22233.6,41.42361111,-116.0738889,USFS,NV,Elko 
13355,FED,FS,Salmon-Challis National Forest,POTATO,2006,7/27/2006,9/18/2006,Natural,Natural,18236.0,44.32472222,-114.8394444,USFS,ID,Custer 
13356,FED,FS,Salmon-Challis National Forest,BOUNDARY,2006,8/7/2006,11/13/2006,Natural,Natural,11005.0,44.49861111,-115.2891667,USFS,ID,Valley 
13793,FED,FS,Cleveland National Forest,HORSE,2006,7/23/2006,7/29/2006,Human,Recreation and ceremony,16677.0,32.75444444,-116.6691667,USFS,CA,San Diego 
13808,FED,FS,Humboldt National Forest,SHERWOOD,2006,6/25/2006,6/25/2006,Natural,Natural,7378.0,38.255,-115.4016667,USFS,NV,White Pine 
13950,FED,FS,Salmon-Challis National Forest,NORTH ELK,2006,8/21/2006,9/20/2006,Natural,Natural,6099.0,44.5275,-115.4577778,USFS,ID,Valley 
14086,FED,FS,Umatilla National Forest,COLUMBIA COMPLEX,2006,8/21/2006,10/9/2006,Natural,Natural,109259.0,46.14305556,-118.0441667,MISSING/NOT SPECIFIED,WA,Columbia 
14206,FED,FS,Boise National Forest,RED MOUNTAIN,2006,8/14/2006,10/6/2006,Human,Recreation and ceremony,35482.0,44.24333333,-115.3863889,USFS,ID,Boise 
14297,FED,FS,Six Rivers National Forest,SOMES,2006,7/24/2006,10/18/2006,Natural,Natural,15710.0,41.315,-123.4966667,USFS,CA,Humboldt 
14349,FED,FS,Wallowa-Whitman National Forest,JIM CREEK,2006,8/22/2006,9/15/2006,Natural,Natural,12946.0,45.9475,-116.8788889,USFS,OR,Wallowa 
14438,FED,FS,Boise National Forest,RATTLESNAKE,2006,8/20/2006,11/6/2006,Natural,Natural,43600.0,44.30138889,-115.7872222,USFS,ID,Valley 
14448,FED,FS,Tahoe National Forest,RALSTON,2006,9/5/2006,9/5/2006,Human,Missing data not specified undetermined,8422.0,39.01666667,-120.7025,STATE OR PRIVATE,CA,Placer 
14450,FED,FS,Mendocino National Forest,HUNTER,2006,7/24/2006,9/7/2006,Natural,Natural,16296.0,39.66055556,-122.8616667,USFS,CA,Mendocino 
14570,FED,FS,Six Rivers National Forest,HANCOCK,2006,7/24/2006,10/23/2006,Natural,Natural,10770.0,41.44888889,-123.2925,USFS,CA,Siskiyou 
14655,FED,FS,Willamette National Forest,PUZZLE,2006,8/19/2006,9/9/2006,Human,Missing data not specified undetermined,6340.0,44.58972222,-121.8447222,USFS,OR,Linn 
14788,FED,FS,Payette National Forest,DUNCE WFU,2006,7/8/2006,9/12/2006,Natural,Natural,7898.0,45.125,-114.7830556,USFS,ID,Valley 
14907,FED,FS,Los Padres National Forest,DAY,2006,9/4/2006,10/30/2006,Human,Debris and open burning,162702.0,34.63222222,-118.7697222,USFS,CA,Ventura 
15173,FED,FS,Los Padres National Forest,PERKINS,2006,6/19/2006,7/20/2006,Human,Missing data not specified undetermined,14988.0,34.94361111,-119.6872222,MISSING/NOT SPECIFIED,CA,Santa Barbara 
15176,FED,FS,Mendocino National Forest,KINGSLEY,2006,7/25/2006,8/9/2006,Natural,Natural,6854.0,40.03777778,-122.9413889,USFS,CA,Tehama 
15306,FED,FS,Shasta-Trinity National Forest,PIGEON,2006,9/2/2006,10/10/2006,Human,Equipment and vehicle use,35101.0,40.75111111,-123.1508333,USFS,CA,Trinity 
15346,FED,FS,Okanogan-Wenatchee National Forest,TRIPOD COMPLEX,2006,7/24/2006,11/9/2006,Natural,Natural,113011.0,48.50333333,-120.0444444,USFS,WA,Okanogan 
15369,FED,FS,Okanogan-Wenatchee National Forest,SPUR PEAK,2006,7/3/2006,11/9/2006,Natural,Natural,62173.0,48.65805556,-120.0288889,USFS,WA,Okanogan 
15379,FED,FS,Okanogan-Wenatchee National Forest,TATOOSH,2006,8/22/2006,11/9/2006,Natural,Natural,51671.0,48.89611111,-120.5611111,USFS,WA,Okanogan 
15383,FED,FS,Wallowa-Whitman National Forest,CLEAR CREEK,2006,9/4/2006,10/1/2006,Natural,Natural,11615.0,45.07333333,-117.1527778,USFS,OR,Baker 
15405,FED,FS,Caribou-Targhee National Forest,BOWEN,2006,8/15/2006,8/19/2006,Natural,Natural,19482.0,42.13861111,-112.6972222,USFS,ID,Oneida 
16001,FED,FS,Payette National Forest,COUGAR,2006,8/7/2006,10/23/2006,Natural,Natural,28431.0,44.8375,-115.7533333,USFS,ID,Valley 
16031,FED,FS,Nezperce National Forest,MEADOW,2006,9/3/2006,9/21/2006,Natural,Natural,7200.0,45.73722222,-115.1894444,USFS,ID,Idaho 
16160,FED,FS,Nezperce National Forest,GREEN ACRES,2006,8/19/2006,10/20/2006,Natural,Natural,6700.0,45.34861111,-116.4952778,USFS,ID,Idaho 
16179,FED,FS,Beaverhead-Deerlodge National Forest,CLARKS CANYON,2006,8/23/2006,8/28/2006,Human,Equipment and vehicle use,15387.0,45.01111111,-112.7930556,MISSING/NOT SPECIFIED,MT,Beaverhead 
16200,FED,FS,Nezperce National Forest,BLACK BUTTE,2006,8/22/2006,10/27/2006,Natural,Natural,33000.0,45.47027778,-115.8861111,USFS,ID,Idaho 
16364,FED,FS,Deschutes National Forest,0668 - LAKE GEORGE,2006,8/7/2006,10/16/2006,Natural,Natural,5550.0,44.3075,-121.8138889,USFS,OR,Jefferson 
16372,FED,FS,Deschutes National Forest,0570  BLACK CRATER,2006,7/24/2006,10/1/2006,Natural,Natural,9400.0,44.26083333,-121.7361111,USFS,OR,Deschutes 
16559,FED,FS,Superior National Forest,CAVITY LAKE,2006,7/14/2006,10/2/2006,Natural,Natural,31830.0,48.09305556,-90.99527778,USFS,MN,Cook 
16949,FED,FS,Gila National Forest,SKATE,2006,6/2/2006,6/28/2006,Natural,Natural,12582.0,32.95611111,-108.1302778,USFS,NM,Grant 
17105,FED,FS,Huron-Manistee National Forest,HUGHES LAKE FIRE,2006,4/30/2006,5/7/2006,Human,Debris and open burning,5818.0,44.51,-84.19,STATE OR PRIVATE,MI,Oscoda 
17204,FED,FS,Fishlake National Forest,DOG VALLEY,2006,7/16/2006,8/3/2006,Natural,Natural,28661.3,38.67555556,-112.5252778,USFS,UT,Millard 
17374,FED,FS,Fishlake National Forest,DEVILS DEN,2006,8/15/2006,8/29/2006,Natural,Natural,14153.7,39.35388889,-112.2683333,USFS,UT,Millard 
17443,FED,FS,Bitterroot National Forest,GASH,2006,7/24/2006,10/31/2006,Human,Arson incendiarism,8800.0,46.395,-114.2538889,USFS,MT,Ravalli 
17462,FED,FS,San Bernardino National Forest,ESPERANZA,2006,10/26/2006,10/30/2006,Human,Arson incendiarism,40200.0,33.89972222,-116.7661111,MISSING/NOT SPECIFIED,CA,Riverside 
17692,FED,FS,Okanogan-Wenatchee National Forest,TINPAN,2006,7/7/2006,11/25/2006,Natural,Natural,9252.0,48.16416667,-120.7258333,USFS,WA,Chelan 
17716,FED,FS,Malheur National Forest,THORN CREEK,2006,8/22/2006,10/4/2006,Natural,Natural,13536.0,44.31166667,-119.4347222,MISSING/NOT SPECIFIED,OR,Grant 
17741,FED,FS,San Bernardino National Forest,MILLARD,2006,7/9/2006,9/9/2006,Natural,Natural,24000.0,34.34166667,-116.7666667,USFS,CA,San Bernardino 
17813,FED,FS,Bridger-Teton National Forest,PURDY,2006,8/5/2006,10/16/2006,Natural,Natural,16906.0,43.57305556,-110.1405556,USFS,WY,Teton 
18213,FED,FS,Ouachita National Forest,BRANTLEY CABIN,2007,3/22/2007,3/24/2007,Human,Debris and open burning,9071.0,34.26805556,-94.58416667,STATE OR PRIVATE,OK,McCurtain 
18289,FED,FS,Shoshone National Forest,LITTLE VENUS,2006,6/23/2006,9/15/2006,Natural,Natural,34581.0,44.01194444,-109.4583333,USFS,WY,Park 
18897,FED,FS,Superior National Forest,HAM LAKE,2007,5/5/2007,6/4/2007,Human,Recreation and ceremony,75484.0,48.06888889,-90.81138889,USFS,MN,Cook 
19091,FED,FS,Gila National Forest,HL,2007,6/22/2007,7/30/2007,Natural,Natural,10131.0,33.56361111,-108.4591667,USFS,NM,Catron 
19959,FED,FS,Coconino National Forest,BIRDIE,2007,7/6/2007,7/17/2007,Natural,Natural,5016.0,34.88805556,-111.5386111,USFS,AZ,Coconino 
20111,FED,FS,Nezperce National Forest,RATTLESNAKE,2007,7/13/2007,11/19/2007,Natural,Natural,102000.0,45.42916667,-115.6366667,USFS,ID,Idaho 
20962,FED,FS,Inyo National Forest,SAGE,2007,7/6/2007,7/11/2007,Natural,Natural,6460.0,37.13,-118.385,USFS,CA,Inyo 
21129,FED,FS,Boise National Forest,TRAPPER RIDGE,2007,7/17/2007,10/16/2007,Natural,Natural,20159.0,44.02277778,-115.3527778,USFS,ID,Boise 
21513,FED,FS,Malheur National Forest,BEAR CANYON FIRE,2007,7/7/2007,8/24/2007,Natural,Natural,52891.0,43.86666667,-119.4647222,USFS,OR,Harney 
21809,FED,FS,Plumas National Forest,MOONLIGHT,2007,9/3/2007,9/25/2007,Human,Equipment and vehicle use,64994.45,40.21333333,-120.8641667,STATE OR PRIVATE,CA,Plumas 
21933,FED,FS,Umatilla National Forest,RED HILL,2007,7/13/2007,8/7/2007,Natural,Natural,53448.0,45.01527778,-119.4497222,USFS,OR,Morrow 
22019,FED,FS,Custer National Forest,LOST,2007,8/12/2007,8/21/2007,Natural,Natural,10733.0,45.25194444,-106.2391667,USFS,MT,Powder River 
22035,FED,FS,Plumas National Forest,WHEELER,2007,7/5/2007,7/21/2007,Natural,Natural,22905.81,40.12861111,-120.6361111,USFS,CA,Plumas 
22626,FED,FS,Kaibab National Forest,SLIDE,2007,7/5/2007,7/23/2007,Natural,Natural,6000.0,36.65416667,-112.4386111,USFS,AZ,Coconino 
22785,FED,FS,Boise National Forest,SHEEP TRAIL,2007,7/18/2007,10/1/2007,Natural,Natural,8759.0,44.34944444,-115.4936111,USFS,ID,Valley 
23311,FED,FS,Salmon-Challis National Forest,RED BLUFF,2007,7/17/2007,11/18/2007,Natural,Natural,62591.0,44.74138889,-114.8713889,USFS,ID,Custer 
23485,FED,FS,Payette National Forest,GRAY'S CREEK,2007,8/30/2007,9/21/2007,Natural,Natural,24900.0,44.55861111,-116.3627778,MISSING/NOT SPECIFIED,ID,Adams 
23569,FED,FS,Lewis and Clark National Forest,FOOL CREEK,2007,7/4/2007,11/29/2007,Natural,Natural,60038.0,47.92333333,-112.9880556,USFS,MT,Teton 
23572,FED,FS,Lewis and Clark National Forest,AHORN,2007,7/11/2007,11/29/2007,Natural,Natural,52505.0,47.53,-113.0466667,USFS,MT,Lewis and Clark 
23651,FED,FS,Flathead National Forest,RAILLEY,2007,7/21/2007,10/13/2007,Natural,Natural,21585.0,47.29944444,-113.2808333,USFS,MT,Flathead 
23678,FED,FS,Flathead National Forest,CORPORAL,2007,8/12/2007,10/13/2007,Natural,Natural,16105.0,47.89166667,-113.4222222,USFS,MT,Flathead 
23920,FED,FS,Payette National Forest,GOAT WFU,2007,7/14/2007,9/25/2007,Natural,Natural,25907.0,45.04305556,-115.285,USFS,ID,Valley 
23925,FED,FS,Payette National Forest,COTTONWOOD WFU,2007,7/21/2007,9/25/2007,Natural,Natural,14637.0,44.91916667,-115.0497222,OTHER FEDERAL,ID,Valley 
23958,FED,FS,Payette National Forest,TAG WFU,2007,6/17/2007,9/25/2007,Natural,Natural,47187.0,45.405,-114.875,USFS,ID,Idaho 
24248,FED,FS,Wallowa-Whitman National Forest,BATTLE CREEK,2007,7/13/2007,9/1/2007,Natural,Natural,79149.0,45.30916667,-116.6861111,USFS,OR,Wallowa 
24254,FED,FS,Wallowa-Whitman National Forest,GRIZZLY RIDGE,2007,7/14/2007,7/29/2007,Natural,Natural,6474.0,45.61833333,-116.8011111,USFS,OR,Wallowa 
24289,FED,FS,Modoc National Forest,FLETCHER,2007,7/15/2007,8/4/2007,Natural,Natural,8121.0,41.98833333,-120.5447222,USFS,CA,Modoc 
24577,FED,FS,Boise National Forest,LIGHTNING,2007,7/17/2007,10/31/2007,Natural,Natural,6994.0,44.17611111,-115.8397222,USFS,ID,Boise 
24617,FED,FS,Gallatin National Forest,WICKED CREEK,2007,8/9/2007,10/9/2007,Natural,Natural,26600.0,45.23972222,-110.5255556,USFS,MT,Park 
24785,FED,FS,Boise National Forest,NORTH FORK,2007,7/21/2007,9/20/2007,Natural,Natural,48143.0,44.69305556,-115.84,USFS,ID,Valley 
24825,FED,FS,Bitterroot National Forest,ROMBO,2007,7/31/2007,9/16/2007,Natural,Natural,29062.0,45.74833333,-114.235,USFS,MT,Ravalli 
24850,FED,FS,Shoshone National Forest,COLUMBINE,2007,8/9/2007,9/3/2007,Natural,Natural,18595.0,44.4075,-110.2077778,USFS,WY,Park 
24898,FED,FS,Boise National Forest,MONUMENTAL,2007,7/17/2007,9/25/2007,Natural,Natural,174231.0,44.495,-115.6972222,USFS,ID,Valley 
24920,FED,FS,Boise National Forest,SANDY,2007,7/17/2007,8/15/2007,Natural,Natural,18306.0,44.65166667,-115.4719444,USFS,ID,Valley 
24922,FED,FS,Boise National Forest,RIORDON,2007,7/17/2007,8/22/2007,Natural,Natural,54079.0,44.82611111,-115.4508333,USFS,ID,Valley 
24925,FED,FS,Boise National Forest,YELLOW,2007,7/31/2007,8/9/2007,Natural,Natural,7603.0,44.6,-115.7333333,USFS,ID,Valley 
24937,FED,FS,Nezperce National Forest,DRAKE,2007,7/18/2007,10/17/2007,Natural,Natural,8401.0,45.9875,-115.1283333,USFS,ID,Idaho 
24950,FED,FS,Nezperce National Forest,LIZARD,2007,7/23/2007,10/17/2007,Natural,Natural,6547.0,46.23111111,-115.1158333,USFS,ID,Idaho 
24951,FED,FS,Los Padres National Forest,ZACA,2007,7/4/2007,9/2/2007,Human,Equipment and vehicle use,240207.0,34.77916667,-120.09,MISSING/NOT SPECIFIED,CA,Santa Barbara 
24952,FED,FS,Nezperce National Forest,DOG,2007,7/24/2007,10/17/2007,Natural,Natural,20327.0,46.105,-114.835,USFS,ID,Idaho 
24970,FED,FS,Payette National Forest,RAINES,2007,7/7/2007,10/9/2007,Natural,Natural,80628.66,45.31444444,-115.5413889,USFS,ID,Idaho 
24974,FED,FS,Payette National Forest,ZENA CREEK,2007,7/7/2007,10/10/2007,Natural,Natural,95193.0,45.06972222,-115.7294444,USFS,ID,Valley 
25022,FED,FS,Bitterroot National Forest,HARRINGTON RIDGE,2007,7/14/2007,10/26/2007,Natural,Natural,6233.0,45.51722222,-114.8841667,USFS,ID,Idaho 
25144,FED,FS,National Forests in North Carolina,SHORTOFF,2007,6/8/2007,7/25/2007,Natural,Natural,5015.0,35.84,-81.89055556,USFS,NC,Burke 
25167,FED,FS,Salmon-Challis National Forest,CLEAR SAGE,2007,7/14/2007,11/1/2007,Natural,Natural,19941.0,45.22027778,-114.4380556,USFS,ID,Lemhi 
25184,FED,FS,Salmon-Challis National Forest,PAPOOSE,2007,8/2/2007,11/1/2007,Natural,Natural,19520.0,45.27,-114.805,USFS,ID,Lemhi 
25335,FED,FS,Bighorn National Forest,BONE CREEK,2007,8/13/2007,10/1/2007,Natural,Natural,13450.0,44.60055556,-107.6708333,USFS,WY,Big Horn 
25346,FED,FS,Payette National Forest,WARM SPRINGS,2007,7/6/2007,8/17/2007,Natural,Natural,23760.0,44.38333333,-117.0705556,MISSING/NOT SPECIFIED,ID,Washington 
25401,FED,FS,Okanogan-Wenatchee National Forest,DOMKE,2007,8/5/2007,1/7/2008,Natural,Natural,11791.0,48.16722222,-120.5994444,USFS,WA,Chelan 
25471,FED,FS,Salmon-Challis National Forest,SHOWERBATH,2007,8/1/2007,11/27/2007,Natural,Natural,60009.0,44.62083333,-114.6222222,USFS,ID,Custer 
25535,FED,FS,Helena National Forest,MERIWETHER,2007,7/21/2007,10/6/2007,Natural,Natural,46298.0,46.86972222,-111.8822222,USFS,MT,Lewis and Clark 
25543,FED,FS,Clearwater National Forest,BOUNDARY JUNCTION,2007,8/10/2007,11/20/2007,Natural,Natural,5100.0,46.37305556,-115.5816667,USFS,ID,Idaho 
25569,FED,FS,Sawtooth National Forest,BLACK PINE 2,2007,7/6/2007,9/6/2007,Natural,Natural,72361.0,42.20194444,-113.2175,USFS,ID,Cassia 
25574,FED,FS,Okanogan-Wenatchee National Forest,EASY STREET,2007,7/7/2007,7/11/2007,Human,Fireworks,5209.0,47.4875,-120.3808333,MISSING/NOT SPECIFIED,WA,Chelan 
25581,FED,FS,Payette National Forest,LOON LAKE,2007,7/14/2007,11/27/2007,Natural,Natural,120077.0,45.13777778,-115.8558333,USFS,ID,Valley 
25604,FED,FS,Apache-Sitgreaves National Forest,CHITTY,2007,6/30/2007,7/12/2007,Natural,Natural,15000.0,33.57027778,-109.3808333,USFS,AZ,Greenlee 
25737,FED,FS,Flathead National Forest,SKYLAND,2007,7/23/2007,11/28/2007,Natural,Natural,44176.0,48.27138889,-113.3952778,USFS,MT,Flathead 
25799,FED,FS,Malheur National Forest,SILVER FIRE,2007,7/7/2007,8/26/2007,Natural,Natural,31624.7,43.855,-119.6816667,USFS,OR,Harney 
25834,FED,FS,Deschutes National Forest,GW,2007,8/31/2007,9/30/2007,Natural,Natural,7357.0,44.34305556,-121.8063889,USFS,OR,Deschutes 
25904,FED,FS,Clearwater National Forest,BRIDGE,2007,7/25/2007,11/16/2007,Natural,Natural,42694.0,46.3675,-114.5711111,USFS,ID,Idaho 
25977,FED,FS,Beaverhead-Deerlodge National Forest,PATTENGAIL,2007,7/13/2007,10/2/2007,Natural,Natural,15297.0,45.69111111,-113.2563889,USFS,MT,Beaverhead 
25988,FED,FS,Malheur National Forest,EGLEY,2007,7/6/2007,7/22/2007,Natural,Natural,55420.0,43.6675,-119.4302778,USFS,OR,Harney 
26008,FED,FS,Beaverhead-Deerlodge National Forest,RAT CREEK,2007,8/9/2007,10/2/2007,Natural,Natural,25877.0,45.74444444,-113.8094444,USFS,MT,Beaverhead 
26016,FED,FS,Lolo National Forest,CONGER CREEK,2007,7/16/2007,10/1/2007,Natural,Natural,25150.0,47.21638889,-113.0369444,USFS,MT,Lewis and Clark 
26075,FED,FS,Cleveland National Forest,SANTIAGO,2007,10/21/2007,11/8/2007,Human,Missing data not specified undetermined,28476.0,33.74583333,-117.6666667,MISSING/NOT SPECIFIED,CA,Orange 
26084,FED,FS,National Forests in Florida,FLORIDA BUGABOO,2007,5/8/2007,6/20/2007,Natural,Natural,123014.0,30.5,-82.36666667,USFS,FL,Columbia 
26085,FED,FS,Lolo National Forest,SAWMILL,2007,7/16/2007,11/1/2007,Natural,Natural,14233.0,46.60194444,-113.7002778,USFS,MT,Granite 
